"행정구역별(시군구)",2019,2020,2021,2022,2023
"순천시",1410,1485,1558,1569,1662
"나주시",974,1014,1113,1161,1202
"광양시",1094,1141,1218,1254,1312
"담양군",400,420,442,437,452
"곡성군",287,289,290,295,307
"구례군",245,255,254,255,259
"고흥군",574,583,613,621,636
"보성군",364,367,378,379,397
"화순군",583,592,611,631,667
"장흥군",364,367,386,393,407
"강진군",333,326,331,333,329
"해남군",682,716,752,761,794
"영암군",787,833,912,975,1053
"무안군",609,657,660,686,709
"함평군",326,334,341,346,347
"영광군",464,479,513,531,546
"장성군",478,483,510,529,532
"완도군",459,469,480,481,504
"진도군",344,362,382,377,387
"신안군",327,326,337,348,367
"포항시",2253,2337,2460,2537,2617
"경주시",1931,2023,2128,2194,2241
"김천시",871,931,975,1008,1023
"안동시",887,944,983,1024,1104
"구미시",2141,2270,2364,2466,2575
"영주시",636,678,682,717,769
"영천시",781,830,878,912,929
"상주시",777,790,810,859,925
"문경시",516,553,571,575,599
"경산시",1527,1647,1803,1894,2022
"군위군",177,175,179,177,-
"의성군",373,383,381,389,419
"청송군",222,229,228,231,229
"영양군",180,191,199,198,196
"영덕군",288,278,282,290,284
"청도군",274,293,315,307,313
"고령군",287,278,285,292,312
"성주군",350,358,369,362,385
"칠곡군",932,960,1045,1113,1165
"예천군",446,479,481,500,509
"봉화군",278,297,304,307,314
"울진군",279,288,305,310,321
"울릉군",29,29,31,29,33
"진주시",1853,1958,2082,2147,2227
"통영시",952,972,979,991,1005
"사천시",738,766,806,827,858
"김해시",3683,3937,4090,4233,4429
"밀양시",729,753,773,820,871
"거제시",1808,1873,1889,1882,1894
"양산시",2154,2268,2424,2519,2619
"창원시",5429,5623,5881,5981,6136
"의령군",232,230,239,239,247
"함안군",622,648,670,679,690
"창녕군",528,548,581,596,601
"고성군",424,428,433,460,476
"남해군",287,281,277,295,302
"하동군",354,355,361,353,362
"산청군",264,269,282,282,284
"함양군",362,371,374,378,383
"거창군",429,437,435,462,491
"합천군",327,327,330,332,353
"제주시",3616,3848,4061,4193,4324
"서귀포시",1456,1567,1669,1765,1840
