Year,Regn,Aslt,Fraud,Drug,Thief,Popln,Incme,StnNo,Police,Float,Unemp,CPI,Aging,Dens,Estab,Multi,Crime_Aslt,Crime_Fraud,Crime_Drug,Crime_Thief,Crime
2022,경기구리,426,749,27,478,190210,2142531,5,371,198,3.5,124.7,138.4,5705.158968,186,979,223.9629883,393.775301,14.19483729,251.3011934,883.23432
2022,경기군포,549,1207,14,753,271745,2515881,5,405,283,3.6,124.7,140.2,7461.422295,98,2447,202.0276362,444.166406,5.151888719,277.0980147,928.4439456
2022,경기김포,1200,1829,62,1461,504107,2582391,12,544,510,2.6,124.7,83.7,1822.512654,137,4738,238.0447008,362.8197982,12.29897621,289.8194233,902.9828985
2022,경기남양주,1241,2967,92,1420,745116,2170270,17,888,711,3.2,124.7,114.4,1626.464682,107,4191,166.5512484,398.193033,12.34707079,190.5743535,767.6657057
2022,경기동두천,276,595,18,345,95100,2122422,5,232,94,3.7,124.7,222.4,993.9381271,174,1087,290.2208202,625.6572029,18.92744479,362.7760252,1297.581493
2022,경기부천,2438,5611,89,3423,814315,2325369,14,1539,858,3.7,124.7,155.6,15232.2297,467,10611,299.3927411,689.045394,10.92943149,420.3533031,1419.72087
2022,경기성남,2194,4169,73,3050,936989,3086802,23,1012,977,3,124.7,141.9,6615.752312,309,6120,234.1542964,444.935853,7.790913234,325.5107584,1012.391821
2022,경기수원,3309,6593,211,4704,1225058,3165583,23,1930,1309,2.6,124.7,102.7,10116.08588,309,10332,270.1096601,538.1786005,17.22367431,383.9818196,1209.493755
2022,경기시흥,1425,3101,99,1861,546051,2763143,12,776,602,4.6,124.7,75.8,3902.315443,281,9216,260.9646352,567.8956727,18.13017465,340.8106569,1187.801139
2022,경기안산,2251,4079,144,2862,690777,2756920,22,1341,777,4.6,124.7,124.1,4414.756822,415,12136,325.8649318,590.4944722,20.84609071,414.3160528,1351.521547
2022,경기안성,587,1002,42,629,200932,2748963,10,346,237,2.6,124.7,171,363.0404539,76,2226,292.138634,498.6761691,20.90259391,313.0412279,1124.758625
2022,경기안양,1180,2320,64,1593,554347,2720043,10,934,562,3.5,124.7,138.9,9476.017094,355,3130,212.8630623,418.5104276,11.54511524,287.3651341,930.2837392
2022,경기양주,550,1245,35,423,250920,2338727,27,351,237,3.1,124.7,136.1,808.115942,88,2178,219.1933684,496.1740794,13.9486689,168.579627,897.8957437
2022,경기여주,245,739,36,308,116652,2369897,11,283,127,1.5,124.7,241.4,191.801904,40,962,210.0264033,633.5082125,30.86102253,264.0331927,1138.428831
2022,경기오산,633,1377,31,875,238418,2410549,4,359,261,4,124.7,76.4,5584.867651,130,3432,265.5000881,577.5570636,13.00237398,367.0024914,1223.062017
2022,경기용인,1916,3973,106,2724,1092294,2858625,22,1113,1087,3.1,124.7,107.2,1847.462959,196,5951,175.4106495,363.7299115,9.704346998,249.3834078,798.2283158
2022,경기의왕,179,580,21,219,161204,2604850,4,238,163,3.2,124.7,135,2983.601703,16,683,111.0394283,359.792561,13.02697204,135.8527084,619.7116697
2022,경기의정부,1367,3155,100,1234,468659,2008754,7,774,463,2.8,124.7,151.2,5746.891478,244,2936,291.6832921,673.1973567,21.33747565,263.3044495,1249.522574
2022,경기이천,624,1267,49,739,230134,3334488,13,396,269,1.4,124.7,123,498.5679932,94,1809,271.1463756,550.5488107,21.29194295,321.1172621,1164.104391
2022,경기파주,1249,3184,58,1207,507448,2484120,13,607,504,2.5,124.7,105.3,753.0354519,145,3944,246.133594,627.4534534,11.42974255,237.8568839,1122.873674
2022,경기평택,1912,4368,127,2344,603780,3001955,16,861,647,2.8,124.7,91.8,1316.629596,650,7179,316.6716354,723.4423134,21.03415151,388.2208752,1449.368975
2022,경기포천,346,901,81,418,160066,2437499,14,378,178,2.5,124.7,248.1,193.4963674,152,1983,216.1608337,562.8928067,50.6041258,261.1422788,1090.800045
2022,경기하남,566,1501,42,786,328393,2400594,6,313,341,2,124.7,91,3531.867068,57,1669,172.3544655,457.0742982,12.78955398,239.3473673,881.565685
2022,경기화성,2153,3670,147,2512,949187,3077062,17,931,1026,2,124.7,56.1,1354.491488,284,8289,226.825694,386.6466776,15.48693777,264.6475352,893.6068446
2021,경기고양,2171,5681,93,2090,1090339,2217485,18,575,1070,3.5,118.7,121.2,4066.153272,80,6116,199.1123861,521.0306152,8.529457352,191.6835039,920.3559627
2021,경기과천,63,234,2,120,73528,2751206,2,188,62,3.2,118.7,104.7,2049.846669,0,195,85.68164509,318.2461103,2.720052225,163.2031335,569.8509411
2021,경기광명,775,1389,25,938,296471,2423411,6,494,289,4.3,118.7,116.9,7696.547248,159,2065,261.4083671,468.5112541,8.432527971,316.3884495,1054.740599
2021,경기광주,1113,1713,42,945,398225,2413192,9,459,412,3.9,118.7,107.5,923.9773545,35,3458,279.4902379,430.1588298,10.54680143,237.3030322,957.4989014
