,2018,2019,2020,2021,2022
경기도 고양시,1976996,2054401.672,2106005.453,2217485.376,2278444.805
경기도 과천시,2452834,2548870.24,2612894.4,2751206.136,2826837.73
경기도 구리시,1859065,1931853.298,1980378.831,2085208.797,2142531.897
경기도 남양주시,1883134,1956864.676,2006018.46,2112205.643,2170270.895
경기도 오산시,2091623,2173516.683,2228112.471,2346056.044,2410549.924
경기도 시흥시,2397567,2491439.362,2554020.936,2689216.246,2763143.717
경기도 군포시,2183019,2268491.126,2325472.544,2448569.804,2515881.822
경기도 의왕시,2260217,2348711.673,2407708.122,2535158.465,2604850.835
경기도 하남시,2082985,2164540.477,2218910.796,2336367.285,2400594.817
경기도 용인시,2480416,2577532.163,2642276.272,2782143.316,2858625.384
경기도 파주시,2155460,2239853.104,2296115.173,2417658.422,2484120.675
경기도 이천시,2893320,3006602.666,3082124.443,3245274.542,3334488.245
경기도 안성시,2385263,2478653.621,2540914.035,2675415.54,2748963.625
경기도 김포시,2240729,2328460.656,2386948.427,2513299.87,2582391.34
경기도 화성시,2669953,2774490.139,2844181.564,2994736.324,3077062.645
경기도 광주시,2151478,2235715.196,2291873.327,2413192.036,2479531.507
경기도 양주시,2029303,2108756.657,2161725.761,2276155.201,2338727.482
경기도 포천시,2115007,2197816.24,2253022.401,2372284.564,2437499.475
경기도 여주시,2056349,2136861.593,2190536.656,2306491.18,2369897.408
경기도 연천군,1872702,1946024.23,1994905.717,2100504.654,2158248.243
경기도 가평군,1893631,1967772.667,2017200.445,2123979.538,2182368.459
경기도 양평군,1785488,1858989.889,1917570.342,2017599.229,2154876.442
강원도 춘천시,1913397,1992164.426,2054941.473,2162136.241,2309247.735
강원도 원주시,2312604,2407805.291,2483680.005,2613239.657,2791044.174
강원도 강릉시,1879834,1957219.763,2018895.634,2124210.093,2268741.096
강원도 동해시,1882971,1960485.901,2022264.695,2127754.899,2272527.09
강원도 태백시,1950194,2030476.222,2094460.549,2203716.805,2353657.436
강원도 속초시,1795991,1869925.259,1928850.307,2029467.606,2167552.342
